Sector,Sub-Sector,Startup Name,Number of Founders,Women Founder,City,State,Website
Agriculture ,Post-Harvest,Fruvetech Private Limited,2,Yes,New Delhi,Delhi,https://www.fruvetech.com/
Agriculture ,Productivity,Wolkus Technology Solutions Private Limited,2,No,Bengaluru,Karnataka,
Agriculture ,Productivity,Natura Crop Care,2,No,Bengaluru Rural,Karnataka,https://www.naturacropcare.com/en/
Animal Husbandry,Productivity,Hydrogreens Agri Solutions Private Limited,1,No,Dakshina Kannada,Karnataka,https://hydrogreenfodder.com/
Construction,Materials,"Himalayan 
Hemp 
Industries 
Private 
Limited ",2,Yes,Kangra,Himachal Pradesh,
Construction,Materials,"Micob Private
Limited",2,Yes,Gandhinagar,Gujarat,
Education and Skill Development ,Access to Institutional Education,Trestle Labs Private Limited,2,Yes,Faridabad,Haryana,https://www.trestlelabs.com/
Education and Skill Development ,Access to Open Education,Testbook Ddu Solutions Private Limited,2,No,Navi Mumbai,Maharashtra,https://testbook.com/
Education and Skill Development ,Toys as Learning Resource,Makerinme Technologies Private Limited,2,Yes,Bengaluru,Karnataka,
Education and Skill Development ,Vocational Training,Trascender Services Private Limited,2,Yes,Mumbai,Maharashtra,
Energy,Clean Energy,LOG 9 Materials Scientific Private Limited,2,No,Bengaluru,Karnataka,https://www.log9materials.com/
Energy,Energy Efficiency,Renkube Private Limited,2,Yes,Bengaluru,Karnataka,https://www.renkube.com/
Energy,Energy Storage,"Indigenous
Energy
Storage
Technologies
Private
Limited",4,No,Roorkee,Uttarakhand,https://indienergy.in/
"Enterprise 
Technology",Business Process Management,Nextscm Solutions Private Limited,2,No,Bengaluru,Karnataka,
"Enterprise 
Technology",Business Process Management,Stylumia Intellignece Technology Private Limited,1,No,Bengaluru Urban,Karnataka,https://www.stylumia.ai/
"Enterprise 
Technology",Customer Relationship Management,Corover Private Limited,1,No,Bengaluru Urban,Karnataka,https://corover.ai/
Environment ,Sanitation,Hygienity Solutions Private Limited,2,No,Pune,Maharashtra,
Environment ,Sustainable Industrial Solutions,Kbcols Sciences Private Limited,2,Yes,Pune,Maharashtra,https://www.kbcolssciences.com/
Environment ,Waste to Value,Infinita Biotech Private Limited,2,Yes,Vadodara,Gujarat,https://infinitabiotech.com/
Fintech,Financial Inclusion,Whrrl Fintech Solutions,2,Yes,Thane,Maharashtra,https://www.whr.loans/
Fintech,Financial Inclusion,Changejar Technologies Private Limited,2,No,Bengaluru Urban,Karnataka,
Fintech,Insurance ,Micronsure Consultancy Private Limited,1,No,Ranga Reddy,Telangana,https://micronsure.com/
Health and Wellness,Access to Healthcare,Medulance Healthcare Private Limited,2,No,South Delhi,Delhi,https://medulance.com/
Health and Wellness,"Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homoeopathy (AYUSH)",Mallipathra Nutraceutical Private Limited,1,Yes,Bengaluru Urban,Karnataka,
Health and Wellness,Daignostics,Prantae Solutions (OPC) Private Limited,1,Yes,Bhubaneswar,Orissa,https://www.prantae.solutions/
Health and Wellness,Life Sciences,Algorithmic Biologics Private Limited,2,Yes,Bengaluru Urban,Karnataka,https://algorithmicbiologics.com/
Health and Wellness,Medical Devices,JC Orthoheal Private Limited,2,Yes,Vadodara,Gujarat,https://orthoheal.com/
Health and Wellness,Mental Wellbeing,Yourdost Health Solutions Private Limited,2,Yes,Bengaluru Urban,Karnataka,https://yourdost.com/
Industry 4.0,3D Printing ,Amace Solutions Private Limited,1,No,Bengaluru Urban,Karnataka,https://www.am-ace.com/
Industry 4.0,Computer Vision,Sandlogic Technologies Private Limited,2,Yes,Bengaluru Urban,Karnataka,https://www.sandlogic.com/
Industry 4.0,Internet of Things,Lynkit Solutions Private Limited,2,Yes,New Delhi,Delhi,https://lynkit.in/
Industry 4.0,Internet of Things,Lab To Market Innovations Pvt Ltd,2,No,Bengaluru Urban,Karnataka,https://l2mrail.com/
Industry 4.0,Robotics,Irov Technologies Private Limited,2,No,Ernakulam,Kerala,https://www.eyerov.com/
Media and Entertainment,Production & Post-Production,Filmboard Movie Technologies  Private Limited,2,No,Mumbai,Maharashtra,
Media and Entertainment,Production & Post-Production,Quidich Innovation Labs Private Limited,2,No,Mumbai,Maharashtra,
Security,Cyber Security,Qunu Labs Private Limited,2,No,Bengaluru Urban,Karnataka,https://www.qnulabs.com/
Security,Security and Safety Systems,Atom Alloys India Private Limited,3,No,Thane,Maharashtra,https://atomalloys.com/
Space,"Space Technologies (including launch vehicles, applications, spacecraft technologies)",Digantara Research And Technologies Private Limited,2,No,Pauri Garhwal,Uttarakhand,https://digantara.co.in/
Transport,Freight and Logistics Services,Cogos Technologies Private Limited,2,No,Bengaluru,Karnataka,https://www.cogostech.com/
Transport,Transport services and Infrastructure,Revamp Moto Private Limited,2,No,Nashik,Maharashtra,https://www.revampmoto.in/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
